,id,Age,Gender,Reviews_Read,Price,Discount,Category,Items_In_Cart,Email_Interaction,Socioeconomic_Status_Score,Engagement_Score,AB_Bucket,Price_Sine,Day,Purchase,Time_of_Day,Device_Type,Payment_Method,Referral_Source,PM_RS_Combo,Session_ID,Campaign_Period
0,1,36.75795774045198,1.0,3.0,592.975,22.0,1.0,6.0,0.0,7.26,1.85651988882061,3.0,0.999046734634677,59.0,0.0,afternoon,mobile,credit,,credit:social_media,s0000003,false
1,2,25.0,1.0,1.0,511.279,12.0,0.0,3.0,1.0,8.3,1.86813832789546,5.0,-0.129688684852924,29.0,1.0,morning,tablet,cash,social_media,cash:social_media,s0000005,true
2,3,22.0,0.0,3.0,218.36,2.0,1.0,4.0,1.0,6.61,1.22344539869077,0.0,-0.421645722896257,16.0,0.0,evening,mobile,bank,social_media,bank:social_media,s0000007,false
3,4,24.0,0.0,3.0,313.781,1.0,3.0,0.0,1.0,10.51,0.359684290919756,1.0,-0.988239209012344,53.0,0.0,evening,mobile,paypal,social_media,,s0000008,false
4,5,35.0,1.0,1.0,495.088,13.0,0.0,2.0,0.0,8.33,3.84857984948332,2.0,0.69573668628572,10.0,0.0,evening,mobile,cash,social_media,cash:social_media,s0000009,false
5,6,28.0,0.0,2.0,188.807,21.0,2.0,5.7892604572187745,0.0,3.13,0.863242298207413,3.0,-0.874546477964023,57.0,0.0,evening,desktop,,direct,bank:direct,s0000010,false
6,7,27.336721362218935,1.0,2.0,479.629,41.0,4.0,6.0,1.0,4.447591652348618,0.828183957211813,4.0,0.998348364690649,26.0,0.0,afternoon,mobile,bank,search_engine,bank:search_engine,s0000011,true
7,8,19.0,1.0,4.0,504.79448053430133,12.0,3.0,14.0,0.6329197720335843,1.62,1.48669506913499,6.0,0.862094802133841,12.0,0.0,morning,desktop,bank,search_engine,bank:search_engine,s0000013,false
8,9,18.0,0.0,5.0,831.402,2.0,3.0,2.0,0.0,6.23,1.37603031722534,2.9435057979078465,0.804533636720674,47.0,0.0,morning,desktop,paypal,search_engine,paypal:search_engine,s0000014,true
9,10,22.0,1.0,4.0,234.562,14.0,1.0,2.0,1.0,6.71,1.31973908819596,2.0,0.448290160416763,3.0,0.0,morning,mobile,bank,social_media,bank:social_media,s0000016,false
10,11,36.0,0.0,4.0,762.26,20.0,2.0,7.0,1.0,2.62,5.58590843842961,5.0,-0.997970373660031,58.0,0.0,afternoon,desktop,bank,,bank:social_media,s0000019,false
11,12,27.0,0.0,2.0,431.6,4.0,4.0,2.0,0.0,0.0,1.71732220673534,1.0,-0.914780195975801,45.0,0.0,morning,desktop,,ads,cash:ads,s0000022,true
12,13,65.0,0.0,2.0,948.955,27.0,1.0,1.0,1.0,6.23,3.95600536910236,2.0,0.634493380475653,56.0,1.0,afternoon,mobile,cash,direct,cash:direct,s0000023,false
13,14,21.0,0.24023802634726293,2.0,65.749,33.0,0.0,3.0,0.0,0.64,5.05624580534831,3.0,-0.489162760054413,66.0,1.0,evening,desktop,credit,search_engine,credit:search_engine,s0000024,false
14,15,28.0,1.0,3.0,976.943,46.0,1.0,3.0,0.0,6.402719951450039,3.60337340881602,5.0,-0.762737765843132,45.0,1.0,evening,mobile,,email,paypal:email,s0000026,true
15,16,37.0,0.0,5.0,732.919,35.0,4.0,6.0,0.0,7.6,1.1077528229273,6.0,0.12267249836613,21.0,0.0,afternoon,desktop,credit,ads,credit:ads,s0000027,false
16,17,21.0,0.0,1.0,35.129,7.0,3.0,5.405108666546791,1.0,11.63,3.00236778356728,1.0,0.928362107171014,65.0,1.0,evening,tablet,bank,direct,bank:direct,s0000029,false
17,18,47.56176126022532,0.0,3.0,531.248,37.0,3.0,2.0,0.0,8.15,1.03972077083992,3.0,-0.028566350307603267,57.0,0.0,evening,desktop,bank,ads,cash:ads,s0000031,false
18,19,39.89005384651028,0.0,4.0,174.999,27.0,1.0,0.0,0.0,5.01,2.27487828496586,4.0,-0.293024537401879,56.0,1.0,afternoon,mobile,bank,ads,bank:ads,s0000032,false
19,20,25.0,0.0,2.0,240.52219729000817,27.0,0.0,1.0,0.0,8.45,1.01685304536045,5.0,-0.618762956895831,35.0,1.0,evening,,paypal,search_engine,paypal:search_engine,s0000033,true
20,21,44.0,1.0,3.0,983.116,29.0,0.0,9.0,0.0,1.32,3.55841973261441,0.0,-0.935785499804142,43.0,0.0,evening,desktop,bank,,bank:email,s0000035,true
21,22,37.483165622221996,0.0,5.0,485.433,50.0,3.0,5.0,0.0,5.97,0.749260138686649,2.0,0.965102336337725,35.0,0.0,afternoon,mobile,bank,email,bank:email,s0000037,true
22,23,23.0,1.0,2.0,252.387,38.0,1.0,1.0,0.0,6.13,3.51847041508314,3.0,0.993318034094898,11.0,1.0,evening,mobile,credit,,credit:ads,s0000038,false
23,24,27.0,0.0,5.0,661.209,31.0,0.0,3.0,1.0,6.45,4.17943866775104,0.0,-0.822207472674068,60.0,1.0,evening,desktop,,search_engine,bank:search_engine,s0000042,false
24,25,34.16175891844164,0.8156487912932366,3.0,376.683,7.0,4.0,5.0,1.0,1.8,0.11982929094216,1.0,0.874456954848802,54.0,0.0,evening,desktop,cash,social_media,cash:social_media,s0000043,false
25,26,40.0,1.0,3.0,529.302,15.0,1.543409026197544,8.0,0.0,4.14,3.98238441421112,3.0,-0.904980031468935,25.0,0.0,afternoon,tablet,paypal,direct,paypal:direct,s0000045,true
26,27,24.0,0.0,3.0,755.008,2.0,1.0,8.0,0.0,6.15,2.20737365029729,4.0,-0.893097576479816,25.0,0.0,afternoon,desktop,cash,ads,cash:ads,s0000046,true
27,28,35.0,0.0,2.0,453.803,12.0,4.0,5.0,1.0,5.36,6.21872363361202,6.0,0.0784558385190475,12.0,0.0,evening,desktop,cash,direct,cash:direct,s0000048,false
28,29,18.0,0.0,4.0,946.062,35.0,4.0,2.0,0.0,6.85,1.79842145459878,0.0,0.750008619823852,58.0,0.0,evening,mobile,cash,search_engine,cash:search_engine,s0000049,false
29,30,65.0,1.0,1.0,271.637,3.0,0.0,0.0,0.0,4.29,2.04755037905127,1.0,0.578606266858176,24.0,1.0,morning,desktop,bank,,bank:ads,s0000050,false
30,31,20.0,0.0,6.0,671.326,8.0,1.0,3.0,0.0,10.15,2.06356719252255,2.0,-0.392384852031155,37.0,0.0,morning,tablet,bank,,bank:direct,s0000051,true
31,32,22.0,1.0,2.0,170.187,47.0,0.0,1.0,0.0,2.73,2.29397927669353,5.0,-0.0300508478046509,50.0,1.0,afternoon,desktop,credit,direct,credit:direct,s0000054,true
32,33,40.892565692066384,0.0,1.0,681.315,14.0,2.0,1.0,1.0,13.08,2.65039933853872,6.0,0.151140069976722,16.0,0.0,evening,mobile,bank,search_engine,bank:search_engine,s0000055,false
33,34,39.0,0.0,1.0,273.342,18.0,4.0,5.0,0.0,9.08,2.17888484458317,1.0,0.498871860366465,69.0,0.0,morning,desktop,credit,ads,credit:ads,s0000057,false
34,35,23.0,0.0,1.0,143.511,16.0,3.0,2.0,0.0,3.35,4.59638724400205,3.0,0.992945446872176,23.0,0.0,afternoon,mobile,,social_media,paypal:social_media,s0000059,false
35,36,65.0,0.0,1.0,268.408,48.0,2.0,2.0,0.0,8.3,3.26011292661785,4.0,0.71484869683824,48.0,1.0,morning,mobile,credit,ads,credit:ads,s0000060,true
36,37,25.0,1.0,5.0,826.369,40.0,1.0,4.0,0.22249232054743778,8.49,0.35213065449747,5.0,0.937195429543422,68.0,0.0,afternoon,desktop,paypal,,paypal:social_media,s0000061,false
37,38,33.0,1.0,5.0,99.169,14.0,2.0,3.0,1.0,6.43,1.34591923810378,6.0,-0.698855704657457,8.0,1.0,afternoon,tablet,cash,email,cash:email,s0000062,false
38,39,18.0,0.0,4.0,469.6861191479991,4.0,3.0,10.0,0.0,10.66,0.312961840434252,0.0,0.920186299876468,63.0,0.0,evening,tablet,credit,,credit:email,s0000063,false
39,40,25.0,0.0,5.0,295.419,40.0,3.0,4.0,0.0,0.0,3.31146272348947,1.0,-0.647426923248453,20.0,0.0,evening,desktop,bank,ads,bank:ads,s0000064,false
40,41,41.0,1.0,1.0,170.288,8.0,2.0,2.0,1.0,5.71,4.95105415433615,4.0,-0.0356589222785879,48.0,1.0,evening,mobile,cash,,cash:social_media,s0000067,true
41,42,25.0,0.4220921430536785,2.0,574.838,10.0,4.0,5.0,1.0,4.43,1.41426424859432,5.0,0.496461711909751,15.0,0.0,afternoon,mobile,credit,,credit:ads,s0000068,false
