feature,importance
Items_In_Cart,0.20527598
Email_Interaction,0.03850708
campaign_effect,0.03831745
Campaign_Period_false,0.036509924
Device_Type_mobile,0.033361197
Campaign_Period_true,0.032185465
Reviews_Read,0.026095672
Price,0.02587276
Category,0.024123734
Engagement_Score,0.02140588
Device_Type_tablet,0.021019325
Referral_Source_ads,0.01445805
PM_RS_Combo_bank:direct,0.013847407
Time_of_Day_evening,0.01381422
PM_RS_Combo_bank:email,0.013461508
PM_RS_Combo_paypal:email,0.013450886
PM_RS_Combo_cash:search_engine,0.013059789
PM_RS_Combo_cash:email,0.0129972305
PM_RS_Combo_paypal:direct,0.012912061
PM_RS_Combo_bank:ads,0.012638256
PM_RS_Combo_paypal:ads,0.012332409
PM_RS_Combo_credit:email,0.01213843
PM_RS_Combo_bank:search_engine,0.01187768
Time_of_Day_afternoon,0.01179434
Price_Sine,0.011714927
Referral_Source_email,0.011552396
Day,0.011524822
Socioeconomic_Status_Score,0.011395987
PM_RS_Combo_credit:search_engine,0.011256997
Payment_Method_bank,0.011221167
seasonality_score,0.011112662
day_cos,0.011044269
Payment_Method_credit,0.011036785
Referral_Source_social_media,0.011018021
Discount,0.01096603
PM_RS_Combo_credit:ads,0.010849893
Payment_Method_cash,0.010721752
Device_Type_desktop,0.010642355
PM_RS_Combo_cash:social_media,0.01061926
PM_RS_Combo_bank:social_media,0.010384807
Age,0.010326016
Referral_Source_search_engine,0.010252235
time_cos,0.010191853
PM_RS_Combo_paypal:search_engine,0.010160239
PM_RS_Combo_credit:social_media,0.010113197
PM_RS_Combo_cash:ads,0.010079588
time_sin,0.009875154
AB_Bucket,0.009570849
day_sin,0.00951083
Gender,0.009378577
PM_RS_Combo_credit:direct,0.0093712965
Payment_Method_paypal,0.009014697
Time_of_Day_morning,0.008503228
PM_RS_Combo_cash:direct,0.008408105
Referral_Source_direct,0.008397982
PM_RS_Combo_paypal:social_media,0.008327272
