id,Age,Gender,Reviews_Read,Price,Discount,Category,Items_In_Cart,Email_Interaction,Socioeconomic_Status_Score,Engagement_Score,AB_Bucket,Price_Sine,Day,day_sin,day_cos,time_sin,time_cos,campaign_effect,seasonality_score,Time_of_Day_afternoon,Time_of_Day_evening,Time_of_Day_morning,Device_Type_desktop,Device_Type_mobile,Device_Type_tablet,Payment_Method_bank,Payment_Method_cash,Payment_Method_credit,Payment_Method_paypal,Referral_Source_ads,Referral_Source_direct,Referral_Source_email,Referral_Source_search_engine,Referral_Source_social_media,PM_RS_Combo_bank:ads,PM_RS_Combo_bank:direct,PM_RS_Combo_bank:email,PM_RS_Combo_bank:search_engine,PM_RS_Combo_bank:social_media,PM_RS_Combo_cash:ads,PM_RS_Combo_cash:direct,PM_RS_Combo_cash:email,PM_RS_Combo_cash:search_engine,PM_RS_Combo_cash:social_media,PM_RS_Combo_credit:ads,PM_RS_Combo_credit:direct,PM_RS_Combo_credit:email,PM_RS_Combo_credit:search_engine,PM_RS_Combo_credit:social_media,PM_RS_Combo_paypal:ads,PM_RS_Combo_paypal:direct,PM_RS_Combo_paypal:email,PM_RS_Combo_paypal:search_engine,PM_RS_Combo_paypal:social_media,Campaign_Period_false,Campaign_Period_true,Session_ID,purchase_proba,price_after_discount,expected_value
1076,0.06382978723404253,0.0,0.5,0.9999999999999998,0.35555555555555557,0.75,0.09090909090909091,0.0,0.25080256821829855,0.7163852016363977,0.16666666666666666,0.9999319474357721,0.034482758620689946,0.9999999999999991,0.3568958678922133,0.0,0.0,0.0,0.48759878568321874,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0003354,0.8643569055529189,0.9964444444444442,0.8612836365553972
917,0.31239494597865236,1.0,0.25,0.8902565801218381,0.05555555555555556,0.75,0.36363636363636365,0.0,0.30698234349919745,0.7305546606383287,1.0,0.4375620594212082,0.6206896551724141,0.0,0.356895867892214,0.5,1.0,1.0,0.34997653784335836,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0002813,0.8643569055529189,0.8897619931328815,0.7690719230629349
4880,0.08510638297872342,1.0,0.16666666666666666,0.8466047842773092,0.3111111111111111,1.0,0.3181818181818182,1.0,0.12680577849117175,0.5204799298010359,0.16666666666666666,0.9907787598755241,0.27586206896551735,0.9999999999999982,0.35689586789220973,0.5,1.0,1.0,0.8375753235265773,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0015541,0.8643569055529189,0.8439709027262243,0.7294920778571428
3899,0.6808510638297872,1.0,0.16666666666666666,0.827734137006692,0.45555555555555555,1.0,0.18181818181818182,1.0,0.3166131621187801,0.7777756361459615,0.6666666666666666,0.8389583557115635,0.034482758620689946,0.9999999999999991,0.3568958678922133,1.0,4.440892098500626e-16,0.0,0.8124481386300634,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0012464,0.8643569055529189,0.8239633481603281,0.7121984099048836
3355,0.5531914893617021,0.0,0.3333333333333333,0.8138834406572183,0.15555555555555556,1.0,0.13636363636363635,1.0,0.08788121990369181,0.4380575421971503,0.3333333333333333,0.7514068619552787,0.0,0.9009688679024173,0.8019377358048401,0.5,1.0,0.0,0.6017360024010256,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0010747,0.8643569055529189,0.8126173997495293,0.7023914610459624
4210,0.06382978723404253,1.0,0.16666666666666666,0.8100978386238977,0.044444444444444446,0.25,0.13636363636363635,0.0,0.23475120385232742,0.5785089079046156,1.0,0.09459990813688635,0.7931034482758621,0.7225209339563151,4.6629367034256575e-15,0.0,0.0,0.0,0.35230033002780453,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,s0013502,0.8643569055529189,0.8097377951400648,0.6999024549165098
2092,0.702127659574468,1.0,0.6666666666666666,0.7553717480936105,0.06666666666666667,0.5,0.36363636363636365,1.0,0.33627608346709476,0.15739643232291534,0.16666666666666666,0.06192997517312371,0.1379310344827589,1.5543122344752192e-15,0.35689586789220695,0.5,1.0,1.0,0.34997653784335914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0006763,0.8643569055529189,0.7548681669282148,0.652475512866476
5116,0.4893617021276595,0.0,0.3333333333333333,0.7032746468346739,0.11111111111111112,0.25,0.13636363636363635,0.0,0.0,0.5485801349542381,1.0,0.4870843745397869,0.5517241379310347,0.7225209339563183,6.217248937900877e-15,0.0,0.0,1.0,0.5398521913977427,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0016330,0.8643569055529189,0.7024932305604131,0.6072048749390719
4899,0.44680851063829785,1.0,0.08333333333333333,0.6909782083065638,0.022222222222222223,0.75,0.3181818181818182,1.0,0.05096308186195827,0.4175352852480083,0.6666666666666666,8.82938600105243e-06,1.0,0.9999999999999991,0.3568958678922137,1.0,4.440892098500626e-16,0.0,0.8124481386300635,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0015607,0.8643569055529189,0.6908246575936068,0.5971190633172647
4977,0.3146389714045311,0.0,0.16666666666666666,0.6576511601099817,0.011111111111111112,0.5,0.045454545454545456,1.0,0.21709470304975922,0.09598227276718942,0.16666666666666666,0.011773874165396436,0.25530933797507505,0.8425522183852523,0.3729783069240105,0.2863205982998174,0.1849536739101619,0.0,0.63352162682826,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0015849,0.8643569055529189,0.6575780877588584,0.5683821610946526
6199,0.2735699590869154,1.0,0.41666666666666663,0.653500732947605,0.044444444444444446,0.0,0.13636363636363635,1.0,0.1565008025682183,0.42120236532722644,0.0,0.9918520170431122,0.9655172413793105,0.9009688679024193,0.8019377358048376,0.5,1.0,0.0,0.6017360024010265,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,s0019754,0.8643569055529189,0.6532102881774061,0.5646068233643532
646,0.06382978723404253,0.0,0.08333333333333333,0.6482828659408683,0.4,0.75,0.13636363636363635,1.0,0.09791332263242375,0.4446569530141233,0.8333333333333333,0.7991843764055226,0.48275862068965525,0.9009688679024194,0.8019377358048373,0.5,1.0,1.0,0.7892878637709632,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0001986,0.8643569055529189,0.6456897344771048,0.5581063808399161
4085,0.44680851063829785,0.0,0.5833333333333333,0.6466354387773832,0.3111111111111111,0.5,0.09090909090909091,0.0,0.2467897271268058,0.6054642385008452,0.0,7.456370700742454e-05,0.896551724137931,0.0990311320975778,0.8019377358048347,0.5,1.0,0.0,0.21071213622903529,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0013104,0.8643569055529189,0.6446236840789646,0.5571849328166163
891,0.23404255319148937,0.0,0.5,0.6413368370205513,0.3888888888888889,0.5,0.2727272727272727,1.0,0.27929373996789725,0.8960885037357054,0.3333333333333333,0.9347491868825124,0.8620689655172415,8.326672684688674e-16,0.35689586789221023,0.5,1.0,0.0,0.16242467647342224,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0002725,0.8643569055529189,0.6388427493210269,0.5521881419380419
1817,0.0,0.0,0.41666666666666663,0.6389246377224168,0.41111111111111115,0.25,0.36363636363636365,1.0,0.07062600321027288,0.7470215760212594,0.0,0.31832545497069586,0.10344827586206895,0.2774790660436868,3.3306690738754696e-15,0.0,0.0,0.0,0.1352984556554151,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0005831,0.8643569055529189,0.6362979475451136,0.5499885249497679
3685,0.42775600621708776,0.0,0.25,0.5963336562855865,0.18888888888888888,1.0,0.09090909090909091,0.0,0.15208667736757625,0.23370029953650154,0.5,0.864573508940897,0.1724137931034484,0.0990311320975803,0.801937735804838,0.0,0.0,1.0,0.2358393211255507,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0011735,0.8643569055529189,0.5952072482681582,0.5144714952757331
5658,0.8297872340425531,0.0,0.16666666666666666,0.555182795445491,0.26666666666666666,0.75,0.18181818181818182,1.0,0.4185393258426966,0.37306639278870646,0.8333333333333333,0.5921648124487433,0.827586206896552,0.27747906604368383,4.773959005888173e-15,0.0,0.0,0.0,0.1352984556554137,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0018009,0.8643569055529189,0.5537023079909696,0.47859641353258375
387,0.08510638297872342,0.0,0.08333333333333333,0.530692259737157,0.23333333333333334,1.0,0.09090909090909091,1.0,0.36998394863563405,0.34753553130422077,0.5,0.051199714520958284,1.0,0.9999999999999991,0.3568958678922137,0.5,1.0,0.0,0.6500234621566411,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0001186,0.8643569055529189,0.5294539777977703,0.4576372018819645
56,0.04255319148936171,0.17418609258426493,0.25,0.507228523331227,0.18888888888888888,0.75,0.3181818181818182,0.0,0.25441412520064205,0.7507012968042817,0.0,0.2986165692688694,0.6206896551724141,0.0,0.356895867892214,0.0,0.0,1.0,0.1875518613699361,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000168,0.8643569055529189,0.5062704250093791,0.43759833793406805
5652,0.46808510638297873,1.0,0.16666666666666666,0.4902878051678439,0.3666666666666667,0.0,0.13636363636363635,0.0,0.03892455858747994,0.43276758585650277,0.8333333333333333,0.2057042219992547,0.06896551724137945,0.7225209339563181,6.106226635438361e-15,0.5,1.0,0.0,0.5147250065012283,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,s0017995,0.8643569055529189,0.4884900832155618,0.42222977672149087
3776,0.4042553191489362,0.0,0.16666666666666666,0.47841956928814816,0.08888888888888889,1.0,0.09090909090909091,0.0,0.004012841091492777,0.4683674024296792,0.3333333333333333,0.08102447580006089,0.6551724137931036,0.09903113209758013,0.8019377358048377,0.5,1.0,1.0,0.39826399759897296,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0012035,0.8643569055529189,0.4779943074487809,0.4131576804583388
2524,0.6170212765957447,1.0,0.08333333333333333,0.47750147029437856,0.08888888888888889,0.25,0.045454545454545456,1.0,0.028089887640449437,0.02336578579842704,0.16666666666666666,0.3304314278751842,0.5674422789956246,0.4629812085277094,0.47928111913540494,0.5,1.0,1.0,0.5372808620583075,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0008058,0.8643569055529189,0.47707702454300577,0.4123648206443864
5240,0.23404255319148937,0.0,0.6666666666666666,0.47431357485382136,0.044444444444444446,0.0,0.13636363636363635,0.0,0.18971793707752424,0.6419992685479574,0.6666666666666666,0.4625994441747704,0.6551724137931036,0.09903113209758013,0.8019377358048377,0.0,0.0,1.0,0.2358393211255507,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0016692,0.8643569055529189,0.47410276882055297,0.40979400217180406
3081,0.6170212765957447,0.3977638795274485,0.21812288912303135,0.4700921604402762,0.4777777777777778,0.75,0.18181818181818182,1.0,0.28531300160513645,0.2226242834345715,0.16666666666666666,0.9118030475234646,0.06896551724137945,0.7225209339563181,6.106226635438361e-15,0.0,0.0,0.0,0.352300330027806,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.8643569055529189,0.4678461645626171,0.40438606307614533
213,0.10638297872340424,0.0,0.16666666666666666,0.46429247300401716,0.48888888888888893,0.25,0.18181818181818182,1.0,0.10593900481540931,0.24104537829359024,0.6666666666666666,0.9178756594514372,0.06896551724137945,0.7225209339563181,6.106226635438361e-15,0.0,0.0,0.33817496683509807,0.5520909130907486,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000648,0.8643569055529189,0.46202259869155304,0.39935242370054885
